property,product_id,value
ip_rating,11093,IP 55
ip_rating,11094,IP 55
ip_rating,11102,IP 20
ip_rating,17086,IP 55
ip_rating,17087,IP 55
ip_rating,17088,IP 55
ip_rating,17089,IP 55
ip_rating,17090,IP 55
ip_rating,17091,IP 55
ip_rating,17092,IP 55
ip_rating,17093,IP 55
ip_rating,17094,IP 55
ip_rating,17095,IP 55
ip_rating,17096,IP 55
ip_rating,17097,IP 55
ip_rating,17186,IP 65
ip_rating,17187,IP 65
ip_rating,17796,IP 67
ip_rating,18136,IP 55
ip_rating,18137,IP 55
ip_rating,19626,IP 56
ip_rating,19627,IP 56
ip_rating,20219,IP 64
ip_rating,20220,IP 64
ip_rating,20306,IP 55
ip_rating,20506,IP 64
ip_rating,20508,IP 64
ip_rating,20809,IP 55
ip_rating,20844,IP 67
ip_rating,20942,IP 55
ip_rating,20945,IP 56
ip_rating,20946,IP 55
ip_rating,20947,IP 56
ip_rating,20948,IP 55
ip_rating,20952,IP 56
ip_rating,20953,IP 56
ip_rating,21199,IP 56
ip_rating,21200,IP 56
ip_rating,21201,IP 56
ip_rating,21202,IP 56
ip_rating,21203,IP 56
ip_rating,21204,IP 56
ip_rating,21206,IP 56
ip_rating,25740,IP 66
ip_rating,39224,IP 55
ip_rating,39225,IP 55
ip_rating,39232,IP 55
ip_rating,39233,IP 55
ip_rating,39234,IP 55
ip_rating,39241,IP 55
ip_rating,39289,IP 55
ip_rating,39297,IP 55
ip_rating,44673,IP 67
ip_rating,44675,IP 67
ip_rating,74645,IP 40
ip_rating,74804,IP 55
ip_rating,74805,IP 55
ip_rating,74852,IP 20
ip_rating,74853,IP 20
ip_rating,74854,IP 55
ip_rating,75289,IP 55
ip_rating,75754,IP 35
ip_rating,76038,IP 55
ip_rating,76047,IP 55
ip_rating,76156,IP 54
ip_rating,76334,IP 20
ip_rating,76370,IP 55
ip_rating,76371,IP 55
ip_rating,93252,IP 54
ip_rating,93253,IP 54
ip_rating,93255,IP 20
ip_rating,93257,IP 20
ip_rating,93277,IP 54
ip_rating,93278,IP 66
ip_rating,93279,IP 66
ip_rating,93280,IP 66
ip_rating,94401,IP 65
ip_rating,94408,IP 65
ip_rating,94409,IP 65
ip_rating,94410,IP 65
ip_rating,94411,IP 65
ip_rating,94419,IP 65
ip_rating,95498,IP 65
ip_rating,102363,IP 55
ip_rating,108585,IP 65
ip_rating,109166,IP 65
ip_rating,109216,IP 40
ip_rating,203853,IP 65
ip_rating,214000,IP 65
ip_rating,217044,IP 31
ip_rating,217171,IP 56
ip_rating,217172,IP 56
ip_rating,217176,IP 56
ip_rating,217208,IP 56
ip_rating,217646,IP 55
ip_rating,217647,IP 55
ip_rating,217774,IP 21
ip_rating,217805,IP 31
ip_rating,217807,IP 56
ip_rating,217876,IP 44
ip_rating,217879,IP 67
ip_rating,217880,IP 67
ip_rating,217881,IP 67
ip_rating,217882,IP 67
ip_rating,217883,IP 67
ip_rating,217884,IP 67
ip_rating,217885,IP 67
ip_rating,217886,IP 67
ip_rating,217887,IP 67
ip_rating,217888,IP 67
